value,date
24881.0,2011-11-22
24568.2,2011-11-23
24468.2,2011-11-26
24056.4,2011-11-27
23977.7,2011-11-28
24089.2,2011-11-29
24016.5,2011-11-30
24116.6,2011-12-03
24356.9,2011-12-04
24662.6,2011-12-07
24688.2,2011-12-10
24546.3,2011-12-11
24554.9,2011-12-12
24618.1,2011-12-13
24590.7,2011-12-14
24528.3,2011-12-17
24604.0,2011-12-18
24638.2,2011-12-19
24588.5,2011-12-20
24494.0,2011-12-21
24456.7,2011-12-24
24455.1,2011-12-25
24377.3,2011-12-26
24327.2,2011-12-27
24320.8,2011-12-28
24403.1,2011-12-31
24400.9,2012-01-01
24323.7,2012-01-02
24507.0,2012-01-03
24839.1,2012-01-04
24887.9,2012-01-07
24854.9,2012-01-08
25082.7,2012-01-09
25207.4,2012-01-10
25440.3,2012-01-11
25755.3,2012-01-15
25903.4,2012-01-16
25692.8,2012-01-17
25811.2,2012-01-18
25772.3,2012-01-21
25620.7,2012-01-23
25540.5,2012-01-25
25723.0,2012-01-28
25931.3,2012-01-29
25912.9,2012-01-30
25913.8,2012-01-31
25878.2,2012-02-01
25907.0,2012-02-04
25717.6,2012-02-05
25579.8,2012-02-06
25436.6,2012-02-07
25371.7,2012-02-08
25320.7,2012-02-12
25279.8,2012-02-13
24946.4,2012-02-14
24829.3,2012-02-15
24848.9,2012-02-18
24878.3,2012-02-19
24923.2,2012-02-20
25035.2,2012-02-21
25012.6,2012-02-22
24936.1,2012-02-25
24976.9,2012-02-26
25098.4,2012-02-27
25244.4,2012-02-28
25354.5,2012-02-29
25365.5,2012-03-03
25417.9,2012-03-04
25320.1,2012-03-05
25307.9,2012-03-06
25400.2,2012-03-07
25457.6,2012-03-10
25491.1,2012-03-11
25300.0,2012-03-12
25265.3,2012-03-13
25481.5,2012-03-14
25607.2,2012-03-17
25905.6,2012-03-18
26280.5,2012-03-24
26502.3,2012-03-25
26408.7,2012-03-26
26533.0,2012-03-27
26576.2,2012-03-28
26484.8,2012-04-02
26327.0,2012-04-03
26300.3,2012-04-04
26383.4,2012-04-07
26491.8,2012-04-08
26482.6,2012-04-09
26664.1,2012-04-10
26757.8,2012-04-11
26896.8,2012-04-14
27281.2,2012-04-15
27245.6,2012-04-16
27185.6,2012-04-17
27259.9,2012-04-18
27211.7,2012-04-21
27169.3,2012-04-22
27085.3,2012-04-23
27129.9,2012-04-24
27010.1,2012-04-28
26953.8,2012-04-29
26960.0,2012-04-30
26969.8,2012-05-01
26964.8,2012-05-02
26935.7,2012-05-05
26932.2,2012-05-06
26886.3,2012-05-07
26870.5,2012-05-08
26871.9,2012-05-09
26743.8,2012-05-12
26658.0,2012-05-13
26715.2,2012-05-14
26677.3,2012-05-15
26652.6,2012-05-16
26652.1,2012-05-19
26667.7,2012-05-20
26845.8,2012-05-21
26912.7,2012-05-22
27091.2,2012-05-23
26909.5,2012-05-26
26905.0,2012-05-27
26848.7,2012-05-28
26803.6,2012-05-29
26755.9,2012-05-30
26735.4,2012-06-02
26693.0,2012-06-05
26635.6,2012-06-06
26365.2,2012-06-09
26264.8,2012-06-10
26411.8,2012-06-11
26440.5,2012-06-12
26439.1,2012-06-13
26406.7,2012-06-16
26325.5,2012-06-17
26291.8,2012-06-19
26165.9,2012-06-20
25938.1,2012-06-23
25681.1,2012-06-24
25558.4,2012-06-25
25325.0,2012-06-26
25054.6,2012-06-27
25170.7,2012-06-30
25227.2,2012-07-01
25345.5,2012-07-02
25438.0,2012-07-03
25428.5,2012-07-04
25445.5,2012-07-07
25354.3,2012-07-08
25279.2,2012-07-09
25307.5,2012-07-10
25388.1,2012-07-11
25431.5,2012-07-14
25296.1,2012-07-15
25159.7,2012-07-16
25021.3,2012-07-17
25039.2,2012-07-18
25021.2,2012-07-21
24996.0,2012-07-22
25029.5,2012-07-23
25094.3,2012-07-24
25088.8,2012-07-25
25023.3,2012-07-28
24747.4,2012-07-29
24550.4,2012-07-30
24584.0,2012-07-31
24546.7,2012-08-01
24332.6,2012-08-04
24108.5,2012-08-05
24001.0,2012-08-06
23855.1,2012-08-07
23787.3,2012-08-08
23957.2,2012-08-11
24024.2,2012-08-12
24049.7,2012-08-13
24102.1,2012-08-14
24125.3,2012-08-15
24144.7,2012-08-18
24279.1,2012-08-21
24339.2,2012-08-22
24523.2,2012-08-25
24586.5,2012-08-26
24649.0,2012-08-27
24730.1,2012-09-02
25055.0,2012-09-03
25384.0,2012-09-04
25659.9,2012-09-05
25791.9,2012-09-08
25569.2,2012-09-09
25735.1,2012-09-10
25889.2,2012-09-11
26283.7,2012-09-15
26217.2,2012-09-16
26470.6,2012-09-17
26556.9,2012-09-18
26514.5,2012-09-19
26875.3,2012-09-22
27127.1,2012-09-23
27080.7,2012-09-24
27440.1,2012-09-25
28132.2,2012-09-26
28828.7,2012-09-29
29207.1,2012-09-30
28788.8,2012-10-01
28667.1,2012-10-02
29098.5,2012-10-03
28862.9,2012-10-06
28858.6,2012-10-07
29014.1,2012-10-08
29032.5,2012-10-09
28845.7,2012-10-10
28557.9,2012-10-13
28656.1,2012-10-14
28981.3,2012-10-15
29248.2,2012-10-16
29502.0,2012-10-17
29992.6,2012-10-20
30211.4,2012-10-21
30671.6,2012-10-22
30615.7,2012-10-23
30749.3,2012-10-24
31121.7,2012-10-27
31160.1,2012-10-28
31221.5,2012-10-29
31331.6,2012-10-30
31082.4,2012-10-31
31205.2,2012-11-04
30736.6,2012-11-05
30940.3,2012-11-06
31282.9,2012-11-07
31220.1,2012-11-10
31015.6,2012-11-11
30978.8,2012-11-12
31215.0,2012-11-13
31336.4,2012-11-14
31260.3,2012-11-17
31271.2,2012-11-18
31096.5,2012-11-19
31140.9,2012-11-20
31259.5,2012-11-21
31608.9,2012-11-26
32018.1,2012-11-27
32339.5,2012-11-28
32741.5,2012-12-01
33113.5,2012-12-02
33015.7,2012-12-03
33073.4,2012-12-04
33282.0,2012-12-05
33659.9,2012-12-08
33612.6,2012-12-09
33760.8,2012-12-10
33889.4,2012-12-11
33687.0,2012-12-12
33949.3,2012-12-15
34090.9,2012-12-16
34669.5,2012-12-17
35106.2,2012-12-18
35760.3,2012-12-19
36040.5,2012-12-22
36829.3,2012-12-23
37530.7,2012-12-24
37366.4,2012-12-25
37798.8,2012-12-26
37622.4,2012-12-29
37116.3,2012-12-30
37860.6,2012-12-31
37987.0,2013-01-01
37648.5,2013-01-02
37059.0,2013-01-06
37077.0,2013-01-07
37314.9,2013-01-08
37441.5,2013-01-09
37786.2,2013-01-13
38082.8,2013-01-14
38322.5,2013-01-15
38343.6,2013-01-16
37898.8,2013-01-19
37627.5,2013-01-20
37284.0,2013-01-21
36594.0,2013-01-22
37233.7,2013-01-23
37409.4,2013-01-26
36723.3,2013-01-27
36674.7,2013-01-28
36554.9,2013-01-30
36801.4,2013-02-02
36761.1,2013-02-03
36447.0,2013-02-04
36505.6,2013-02-05
36913.3,2013-02-06
38205.4,2013-02-09
38394.3,2013-02-11
38640.1,2013-02-12
38611.4,2013-02-13
38655.0,2013-02-16
38710.3,2013-02-17
38739.4,2013-02-18
38550.8,2013-02-19
38479.2,2013-02-20
38325.8,2013-02-23
37931.1,2013-02-24
37350.6,2013-02-25
37573.7,2013-02-26
37811.6,2013-02-27
37437.2,2013-03-02
37156.1,2013-03-03
37135.9,2013-03-04
36950.6,2013-03-05
36925.1,2013-03-06
36585.5,2013-03-09
37101.0,2013-03-10
37193.6,2013-03-11
37268.4,2013-03-12
37998.7,2013-03-13
37854.8,2013-03-16
37516.1,2013-03-17
38040.8,2013-03-18
38602.6,2013-03-25
39351.1,2013-03-26
39741.8,2013-03-27
39714.9,2013-03-30
39990.2,2013-03-31
40151.1,2013-04-03
40134.3,2013-04-06
39915.6,2013-04-07
40068.0,2013-04-08
40606.6,2013-04-09
40533.0,2013-04-10
40255.1,2013-04-13
40621.0,2013-04-15
40834.9,2013-04-16
40747.6,2013-04-17
40550.8,2013-04-20
40506.0,2013-04-21
41133.0,2013-04-22
41583.8,2013-04-23
42052.4,2013-04-24
42334.2,2013-04-27
42507.7,2013-04-28
43192.3,2013-04-29
43994.3,2013-04-30
44537.1,2013-05-01
44993.5,2013-05-04
44897.9,2013-05-05
44943.7,2013-05-06
44707.4,2013-05-07
44683.9,2013-05-08
45091.4,2013-05-11
45512.7,2013-05-12
44963.3,2013-05-13
44129.0,2013-05-14
43864.3,2013-05-15
43301.0,2013-05-18
42795.5,2013-05-19
43047.3,2013-05-20
42855.7,2013-05-21
42777.2,2013-05-22
43485.2,2013-05-25
43910.7,2013-05-26
44107.4,2013-05-27
44470.7,2013-05-28
45162.2,2013-05-29
44945.1,2013-06-01
45247.8,2013-06-02
45590.0,2013-06-03
45488.2,2013-06-08
45199.1,2013-06-09
45206.5,2013-06-10
45553.4,2013-06-11
45671.9,2013-06-12
46623.0,2013-06-15
47817.9,2013-06-16
48333.3,2013-06-17
48783.0,2013-06-18
48916.7,2013-06-19
48539.3,2013-06-22
48631.1,2013-06-23
48634.0,2013-06-25
49427.4,2013-06-26
50471.1,2013-06-29
51321.3,2013-06-30
52244.1,2013-07-01
51846.3,2013-07-02
52735.2,2013-07-03
54289.7,2013-07-06
54768.6,2013-07-07
54616.0,2013-07-08
54534.2,2013-07-09
55069.7,2013-07-10
54744.0,2013-07-13
54298.7,2013-07-14
54509.3,2013-07-15
54235.9,2013-07-16
54433.6,2013-07-17
54872.3,2013-07-20
55101.0,2013-07-21
55329.3,2013-07-22
55942.4,2013-07-23
56426.3,2013-07-24
