jdate,value,date
1390-03-10,25120.9,2011-05-31
1390-03-16,25291.8,2011-06-06
1390-03-17,25123.1,2011-06-07
1390-03-18,25286.5,2011-06-08
1390-03-21,25245.1,2011-06-11
1390-03-22,25121.7,2011-06-12
1390-03-23,25237.5,2011-06-13
1390-03-24,25043.3,2011-06-14
1390-03-25,24854.8,2011-06-15
1390-03-28,25187.4,2011-06-18
1390-03-29,25214.1,2011-06-19
1390-03-30,25120.9,2011-06-20
1390-03-31,25181.6,2011-06-21
1390-04-01,25126.1,2011-06-22
1390-04-04,25023.5,2011-06-25
1390-04-05,24674.9,2011-06-26
1390-04-06,24148.6,2011-06-27
1390-04-07,24180.5,2011-06-28
1390-04-08,24503.5,2011-06-29
1390-04-11,24742.2,2011-07-02
1390-04-12,24742.7,2011-07-03
1390-04-13,24698.3,2011-07-04
1390-04-14,24816.6,2011-07-05
1390-04-15,24801.1,2011-07-06
1390-04-18,24716.9,2011-07-09
1390-04-19,24541.1,2011-07-10
1390-04-20,24503.8,2011-07-11
1390-04-21,24387.1,2011-07-12
1390-04-22,24286.7,2011-07-13
1390-04-25,24348.9,2011-07-16
1390-04-27,24460.7,2011-07-18
1390-04-28,24494.6,2011-07-19
1390-04-29,24602.0,2011-07-20
1390-05-01,24809.6,2011-07-23
1390-05-02,25181.7,2011-07-24
1390-05-03,25325.4,2011-07-25
1390-05-04,25434.6,2011-07-26
1390-05-05,25471.8,2011-07-27
1390-05-08,25297.8,2011-07-30
1390-05-09,25110.8,2011-07-31
1390-05-10,25270.0,2011-08-01
1390-05-11,25284.5,2011-08-02
1390-05-12,25316.3,2011-08-03
1390-05-15,25008.1,2011-08-06
1390-05-16,24923.6,2011-08-07
1390-05-17,24970.8,2011-08-08
1390-05-18,24596.7,2011-08-09
1390-05-19,24875.8,2011-08-10
1390-05-22,24997.0,2011-08-13
1390-05-23,25092.8,2011-08-14
1390-05-24,25059.3,2011-08-15
1390-05-25,25090.5,2011-08-16
1390-05-26,25237.6,2011-08-17
1390-05-29,25231.6,2011-08-20
1390-05-30,25217.0,2011-08-21
1390-06-01,25389.3,2011-08-23
1390-06-02,25475.7,2011-08-24
1390-06-05,25555.6,2011-08-27
1390-06-06,25475.1,2011-08-28
1390-06-07,25621.7,2011-08-29
1390-06-08,25822.0,2011-08-30
1390-06-12,26083.4,2011-09-03
1390-06-13,26254.6,2011-09-04
1390-06-14,26360.8,2011-09-05
1390-06-15,26714.7,2011-09-06
1390-06-16,26930.2,2011-09-07
1390-06-19,27098.4,2011-09-10
1390-06-20,27099.9,2011-09-11
1390-06-21,27058.9,2011-09-12
1390-06-22,26933.1,2011-09-13
1390-06-23,26836.3,2011-09-14
1390-06-26,26855.0,2011-09-17
1390-06-27,26885.0,2011-09-18
1390-06-28,26866.9,2011-09-19
1390-06-29,26847.4,2011-09-20
1390-06-30,26962.2,2011-09-21
1390-07-03,26764.8,2011-09-25
1390-07-04,26571.9,2011-09-26
1390-07-05,26692.9,2011-09-27
1390-07-06,26792.7,2011-09-28
1390-07-09,26708.2,2011-10-01
1390-07-10,26672.7,2011-10-02
1390-07-11,26663.6,2011-10-03
1390-07-12,26756.3,2011-10-04
1390-07-13,26863.5,2011-10-05
1390-07-16,26912.8,2011-10-08
1390-07-17,26868.8,2011-10-09
1390-07-18,26819.4,2011-10-10
1390-07-19,26903.0,2011-10-11
1390-07-20,26844.2,2011-10-12
1390-07-23,26668.3,2011-10-15
1390-07-24,26291.2,2011-10-16
1390-07-25,26159.4,2011-10-17
1390-07-26,26158.8,2011-10-18
1390-07-27,26207.7,2011-10-19
1390-07-30,26150.8,2011-10-22
1390-08-01,26049.6,2011-10-23
1390-08-02,25875.0,2011-10-24
1390-08-03,25924.8,2011-10-25
1390-08-04,25915.4,2011-10-26
1390-08-07,25953.3,2011-10-29
1390-08-08,25911.3,2011-10-30
1390-08-09,25910.0,2011-10-31
1390-08-10,25924.9,2011-11-01
1390-08-11,26001.5,2011-11-02
1390-08-14,25874.2,2011-11-05
1390-08-15,25589.5,2011-11-06
1390-08-17,25328.6,2011-11-08
1390-08-18,25394.2,2011-11-09
1390-08-21,25462.7,2011-11-12
1390-08-22,25372.6,2011-11-13
1390-08-23,25366.6,2011-11-14
1390-08-25,25366.4,2011-11-16
1390-08-28,25366.7,2011-11-19
1390-08-29,25298.3,2011-11-20
1390-08-30,25207.2,2011-11-21
1390-09-01,24881.0,2011-11-22
1390-09-02,24568.2,2011-11-23
1390-09-05,24468.2,2011-11-26
1390-09-06,24056.4,2011-11-27
1390-09-07,23977.7,2011-11-28
1390-09-08,24089.2,2011-11-29
1390-09-09,24016.5,2011-11-30
1390-09-12,24116.6,2011-12-03
1390-09-13,24356.9,2011-12-04
1390-09-16,24662.6,2011-12-07
1390-09-19,24688.2,2011-12-10
1390-09-20,24546.3,2011-12-11
1390-09-21,24554.9,2011-12-12
1390-09-22,24618.1,2011-12-13
1390-09-23,24590.7,2011-12-14
