,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
53,20220529,2236,21,2613,17,30286806,29329666,46475742,13140730,355287946270,344201054220,544938659720,154550340770,11730.782911542407,11725.227748273497,11735.594064385186,11761.168578153573,-16188936.0
54,20220528,2279,17,2857,25,30349816,36938650,49832918,17455548,362525501900,442310071470,595809946860,209025626510,11944.899497907994,11956.15209328099,11974.180742122411,11974.738719746867,-19483102.0
55,20220525,3512,29,2906,21,50281146,32855001,62982053,20154094,608618975560,398057087400,762646622290,244029440670,12104.317899993766,12108.951454631051,12115.570698049894,12108.18212269924,-12700907.0
56,20220524,1711,23,2611,26,20648974,61234343,45109993,36773324,253305253510,750809865200,553797987650,450317131060,12267.2077319677,12276.61435571493,12261.2545250955,12245.755403019863,-24461019.0
57,20220523,1367,12,4217,20,12842101,87544596,90303042,10083655,158997990070,1086283451140,1120065620930,125215820280,12380.995140125437,12403.40963187043,12408.343870134486,12417.701744060065,-77460941.0
58,20220522,1969,14,2868,24,26210991,63899719,52920452,37190258,328892318140,800992316970,663661356240,466223278870,12547.878031013783,12540.734841796137,12535.146155650544,12536.166833529362,-26709461.0
59,20220521,1853,18,3292,14,24619662,36804339,54471351,6952650,308731289810,462256938450,683705031920,87283196340,12540.029583265603,12551.644476745216,12559.848947429813,12553.946529740459,-29851689.0
60,20220518,2369,9,4696,16,45206868,28087030,67654589,5639309,573798066680,356545847130,858793719400,71550194410,12692.718873601241,12693.79848571691,12694.32357675411,12687.759158081248,-22447721.0
61,20220517,5437,29,5971,28,101772782,50061328,86518719,65315391,1298654041120,640156840500,1103941932440,834868949180,12760.327620011409,12759.57324842038,12787.452232589594,12782.116686402444,15254063.0
62,20220516,4130,27,6895,27,111329892,23758555,80820243,54268204,1371580841950,293378653800,996663872050,668295623700,12319.969213210052,12331.859383916972,12348.337422035978,12314.681055227109,30509649.0
63,20220515,2128,20,3602,14,38722916,15224788,45946226,8001478,468319908460,184144893020,555718706520,96746094960,12094.128150369668,12094.98047826605,12095.071078822248,12091.028052567288,-7223310.0
64,20220514,2765,20,3716,20,52808570,23392454,50514280,25686744,642835750070,283757892520,615138992110,311454650480,12172.943711030237,12177.526673843515,12130.31743142468,12125.112099844184,2294290.0
65,20220511,2097,22,3363,22,46085622,27538152,57635506,15988268,558177468940,333833147510,698516147070,193494469380,12111.748626068234,12119.545668081755,12122.56899119447,12102.27833183682,-11549884.0
66,20220510,2011,13,2255,8,19992130,19762377,34675159,5079348,237589930420,235174874260,412290761210,60474043470,11884.172943053092,11890.089998145359,11900.130953882724,11905.867341635187,-14683029.0
67,20220509,3132,23,2793,23,59258932,31138439,55782446,34614925,707690068900,371489642170,665073676710,414106034360,11942.33586423731,11922.633810464316,11930.259001422646,11963.222059848462,3476486.0
68,20220508,2918,15,3844,18,67480335,7019162,56635050,17864447,812404302440,85011821000,682306699720,215109423720,12039.126694317685,12047.428221922642,12111.391787224742,12041.202491182627,10845285.0
69,20220507,3199,10,3106,21,55466481,11755735,54628273,12593943,655489619140,138895649470,645569497540,148815771070,11817.761057168924,11817.497828276577,11815.139544230964,11816.455820865634,838208.0
70,20220502,3045,16,2027,15,42354582,17484586,40113358,19725810,498591813900,205969451730,472316181250,232245084380,11771.85065596917,11774.536084712729,11780.058831819066,11773.66528320003,2241224.0
